date_added,date_id,year,month,month_name,day,day_of_week,day_name,quarter
2017-07-06,383,2017,7,July,6,3,Thursday,3
2017-07-07,384,2017,7,July,7,4,Friday,3
2017-07-10,385,2017,7,July,10,0,Monday,3
2017-07-12,386,2017,7,July,12,2,Wednesday,3
2017-07-13,387,2017,7,July,13,3,Thursday,3
2017-07-14,388,2017,7,July,14,4,Friday,3
2017-07-15,389,2017,7,July,15,5,Saturday,3
2017-07-17,390,2017,7,July,17,0,Monday,3
2017-07-18,391,2017,7,July,18,1,Tuesday,3
2017-07-19,392,2017,7,July,19,2,Wednesday,3
2017-07-20,393,2017,7,July,20,3,Thursday,3
2017-07-21,394,2017,7,July,21,4,Friday,3
2017-07-24,395,2017,7,July,24,0,Monday,3
2017-07-25,396,2017,7,July,25,1,Tuesday,3
2017-07-28,397,2017,7,July,28,4,Friday,3
2017-07-30,398,2017,7,July,30,6,Sunday,3
2017-08-01,399,2017,8,August,1,1,Tuesday,3
2017-08-03,400,2017,8,August,3,3,Thursday,3
2017-08-04,401,2017,8,August,4,4,Friday,3
2017-08-05,402,2017,8,August,5,5,Saturday,3
2017-08-06,403,2017,8,August,6,6,Sunday,3
2017-08-07,404,2017,8,August,7,0,Monday,3
2017-08-08,405,2017,8,August,8,1,Tuesday,3
2017-08-09,406,2017,8,August,9,2,Wednesday,3
2017-08-10,407,2017,8,August,10,3,Thursday,3
2017-08-11,408,2017,8,August,11,4,Friday,3
2017-08-12,409,2017,8,August,12,5,Saturday,3
2017-08-13,410,2017,8,August,13,6,Sunday,3
2017-08-14,411,2017,8,August,14,0,Monday,3
2017-08-15,412,2017,8,August,15,1,Tuesday,3
2017-08-16,413,2017,8,August,16,2,Wednesday,3
2017-08-17,414,2017,8,August,17,3,Thursday,3
2017-08-18,415,2017,8,August,18,4,Friday,3
2017-08-19,416,2017,8,August,19,5,Saturday,3
2017-08-20,417,2017,8,August,20,6,Sunday,3
2017-08-21,418,2017,8,August,21,0,Monday,3
2017-08-22,419,2017,8,August,22,1,Tuesday,3
2017-08-23,420,2017,8,August,23,2,Wednesday,3
2017-08-25,421,2017,8,August,25,4,Friday,3
2017-08-26,422,2017,8,August,26,5,Saturday,3
2017-08-27,423,2017,8,August,27,6,Sunday,3
2017-08-28,424,2017,8,August,28,0,Monday,3
2017-08-29,425,2017,8,August,29,1,Tuesday,3
2017-08-31,426,2017,8,August,31,3,Thursday,3
2017-09-01,427,2017,9,September,1,4,Friday,3
2017-09-02,428,2017,9,September,2,5,Saturday,3
2017-09-04,429,2017,9,September,4,0,Monday,3
2017-09-05,430,2017,9,September,5,1,Tuesday,3
2017-09-06,431,2017,9,September,6,2,Wednesday,3
2017-09-07,432,2017,9,September,7,3,Thursday,3
2017-09-08,433,2017,9,September,8,4,Friday,3
2017-09-11,434,2017,9,September,11,0,Monday,3
2017-09-12,435,2017,9,September,12,1,Tuesday,3
2017-09-13,436,2017,9,September,13,2,Wednesday,3
2017-09-15,437,2017,9,September,15,4,Friday,3
2017-09-17,438,2017,9,September,17,6,Sunday,3
2017-09-18,439,2017,9,September,18,0,Monday,3
2017-09-19,440,2017,9,September,19,1,Tuesday,3
2017-09-22,441,2017,9,September,22,4,Friday,3
2017-09-24,442,2017,9,September,24,6,Sunday,3
2017-09-25,443,2017,9,September,25,0,Monday,3
2017-09-26,444,2017,9,September,26,1,Tuesday,3
2017-09-27,445,2017,9,September,27,2,Wednesday,3
2017-09-28,446,2017,9,September,28,3,Thursday,3
2017-09-29,447,2017,9,September,29,4,Friday,3
2017-09-30,448,2017,9,September,30,5,Saturday,3
2017-10-01,449,2017,10,October,1,6,Sunday,4
2017-10-02,450,2017,10,October,2,0,Monday,4
2017-10-03,451,2017,10,October,3,1,Tuesday,4
2017-10-05,452,2017,10,October,5,3,Thursday,4
2017-10-06,453,2017,10,October,6,4,Friday,4
2017-10-07,454,2017,10,October,7,5,Saturday,4
2017-10-10,455,2017,10,October,10,1,Tuesday,4
2017-10-12,456,2017,10,October,12,3,Thursday,4
2017-10-13,457,2017,10,October,13,4,Friday,4
2017-10-14,458,2017,10,October,14,5,Saturday,4
2017-10-15,459,2017,10,October,15,6,Sunday,4
2017-10-16,460,2017,10,October,16,0,Monday,4
2017-10-17,461,2017,10,October,17,1,Tuesday,4
2017-10-18,462,2017,10,October,18,2,Wednesday,4
2017-10-19,463,2017,10,October,19,3,Thursday,4
2017-10-20,464,2017,10,October,20,4,Friday,4
2017-10-21,465,2017,10,October,21,5,Saturday,4
2017-10-22,466,2017,10,October,22,6,Sunday,4
2017-10-23,467,2017,10,October,23,0,Monday,4
2017-10-24,468,2017,10,October,24,1,Tuesday,4
2017-10-25,469,2017,10,October,25,2,Wednesday,4
2017-10-26,470,2017,10,October,26,3,Thursday,4
2017-10-27,471,2017,10,October,27,4,Friday,4
2017-10-28,472,2017,10,October,28,5,Saturday,4
2017-10-30,473,2017,10,October,30,0,Monday,4
2017-10-31,474,2017,10,October,31,1,Tuesday,4
2017-11-01,475,2017,11,November,1,2,Wednesday,4
2017-11-03,476,2017,11,November,3,4,Friday,4
2017-11-04,477,2017,11,November,4,5,Saturday,4
2017-11-05,478,2017,11,November,5,6,Sunday,4
2017-11-06,479,2017,11,November,6,0,Monday,4
2017-11-07,480,2017,11,November,7,1,Tuesday,4
2017-11-10,481,2017,11,November,10,4,Friday,4
2017-11-11,482,2017,11,November,11,5,Saturday,4
2017-11-12,483,2017,11,November,12,6,Sunday,4
2017-11-13,484,2017,11,November,13,0,Monday,4
2017-11-14,485,2017,11,November,14,1,Tuesday,4
2017-11-15,486,2017,11,November,15,2,Wednesday,4
2017-11-16,487,2017,11,November,16,3,Thursday,4
2017-11-17,488,2017,11,November,17,4,Friday,4
2017-11-18,489,2017,11,November,18,5,Saturday,4
2017-11-21,490,2017,11,November,21,1,Tuesday,4
2017-11-22,491,2017,11,November,22,2,Wednesday,4
2017-11-23,492,2017,11,November,23,3,Thursday,4
2017-11-24,493,2017,11,November,24,4,Friday,4
2017-11-27,494,2017,11,November,27,0,Monday,4
2017-11-30,495,2017,11,November,30,3,Thursday,4
2017-12-01,496,2017,12,December,1,4,Friday,4
2017-12-02,497,2017,12,December,2,5,Saturday,4
2017-12-05,498,2017,12,December,5,1,Tuesday,4
2017-12-06,499,2017,12,December,6,2,Wednesday,4
2017-12-07,500,2017,12,December,7,3,Thursday,4
2017-12-08,501,2017,12,December,8,4,Friday,4
2017-12-11,502,2017,12,December,11,0,Monday,4
2017-12-12,503,2017,12,December,12,1,Tuesday,4
2017-12-14,504,2017,12,December,14,3,Thursday,4
2017-12-15,505,2017,12,December,15,4,Friday,4
2017-12-16,506,2017,12,December,16,5,Saturday,4
2017-12-18,507,2017,12,December,18,0,Monday,4
2017-12-19,508,2017,12,December,19,1,Tuesday,4
2017-12-20,509,2017,12,December,20,2,Wednesday,4
2017-12-21,510,2017,12,December,21,3,Thursday,4
2017-12-22,511,2017,12,December,22,4,Friday,4
2017-12-23,512,2017,12,December,23,5,Saturday,4
2017-12-25,513,2017,12,December,25,0,Monday,4
